uid,sex,age,langs
257406227,2,22,
301831227,1,,
256725750,2,14,
256344495,2,17,
256328499,2,15,
255932889,1,16,
255760695,1,,
254639566,1,24,
253863954,1,19,
253502621,1,,
253082071,1,,
295721071,1,,
259747071,2,,"Русский,English"
252692228,2,,"Русский,English,Deutsch"
251558613,1,15,
251418808,1,14,
250781374,2,20,
250626541,1,,
250508866,1,,
250404653,2,,
250063505,1,,"Русский,English"
250055395,2,,
249756326,1,,
249559173,2,17,
330813173,2,46,
249516603,1,,"Русский,English,Deutsch,Марий йылме"
248701999,1,,
248484167,2,,
247856798,1,,
247613629,2,18,
247374588,1,19,
247171445,1,,
247164366,2,19,
246613945,2,23,"Català,Kiswahili"
245827093,1,,
245249118,2,15,
245117164,1,,
244736562,1,,
244695681,2,17,
244471551,1,,
244449067,2,,
261488067,2,15,
244040813,2,23,
243318251,1,40,
243216162,1,,
243084918,2,,
242972949,1,,
367332949,1,,
242462209,1,,
241900540,2,,
241888284,2,,
290053284,2,15,
363397284,1,,
241791142,1,,
298404142,1,,
241720747,1,,
241596422,2,,
241005821,2,,
240641932,1,,
240455439,2,23,
239958626,1,,
239892480,2,21,
239657647,1,,
238617490,1,,
237849891,2,26,
237219850,1,19,
237207083,1,21,
237182090,2,,
243961090,1,,
237047942,2,,
236876035,2,,
236847182,2,,
236522356,2,17,
236373012,2,,
236274660,2,,
236200661,2,17,
236046473,2,,
235849704,2,,
341830704,2,,
237599704,2,,
235544109,1,,
235008556,1,,
234243776,2,,"Русский,English"
233633878,1,19,
362313878,1,115,
233311933,2,21,
233293235,1,,
232690845,2,20,
232661737,1,24,
232004365,2,,
234483365,1,22,
231836555,1,,
231832716,1,15,
231774084,1,23,
231551733,1,17,
231402897,1,,
231336352,2,,
230916848,2,19,
230824254,1,16,
247049254,1,24,
230452944,1,16,
230326709,2,,
229527635,2,20,
269737635,2,,
229200456,1,21,
228672340,1,,
227886306,1,,
345229306,1,14,
227554909,1,31,
270967909,1,19,
227164298,1,20,
226745163,1,,"Русский,English,Deutsch"
226624939,2,16,
226061565,1,17,"Русский,Татарча"
262428565,1,,
225574511,1,22,
225548419,2,,
239116419,2,22,
254578419,2,16,
239810419,2,15,
225450389,2,,
225438325,1,16,
254405325,2,,
225235685,2,19,
244366685,1,20,
225119152,1,,
224901401,1,23,
224698308,1,,
224245396,1,16,
224170387,2,,
276471387,2,,
223904490,1,17,
223795507,2,,
255919507,1,,
223601186,2,,
222921559,1,,
222860310,1,,
222179753,2,,
221893501,1,,
221881652,1,38,
337570652,1,,
221475644,1,,
221212818,2,18,
219970825,2,24,"Русский,Deutsch"
328676825,1,,
219697081,1,19,
238186081,2,26,
219496484,2,20,
219333512,1,14,
219074038,2,17,
219012072,1,,
218857017,2,,
218610837,2,17,
239493837,2,15,
218563367,2,25,
218537762,2,,
218388674,2,23,
218058537,2,,
217876549,1,,
217789622,1,,
217772924,1,,
357412924,1,,
217594042,1,,
217580718,2,16,"Русский,English,Français"
217363084,1,,
252338084,2,,
217133046,1,,
216873692,1,,
216746058,2,23,
216525215,2,22,
307271215,1,,
331108215,1,19,
216216367,2,,
215360206,1,,
262928206,1,,
214993004,2,17,
214918145,2,18,
214810531,2,18,
214569277,1,,
214192258,1,,
213825906,2,30,
213804648,1,,
280621648,2,15,
344467648,2,19,
213482110,1,44,
213434666,2,17,
213313283,2,,
212827455,2,17,
212787724,2,19,
216947724,2,19,
212695410,2,,
212327976,2,17,
273095261,1,,
211527728,2,,
237020728,2,,
266918728,2,16,
211434917,2,24,
281400917,1,,
211127876,2,17,
210936736,1,17,
253215736,2,17,
210726204,1,18,
210542206,2,,"Русский,English"
210484525,1,,
210231589,2,,
293953589,2,27,
210161051,2,,
210129967,1,,
210116251,1,17,
210100381,2,21,
284928381,1,23,
210026353,2,,
258023353,2,20,
210023793,1,,
279906793,1,19,
209858095,2,,
209611943,1,,
209008585,2,,
208948103,2,,"Русский,English"
289113103,1,,
208850984,2,,
208540378,2,,
208526567,1,23,
208453020,1,,
208349304,1,17,
255998304,2,23,
207915483,2,33,
207644291,2,,
207585356,1,26,
207550477,1,17,"Русский,English"
207494032,2,,
207183904,2,,
207181765,1,,
206946786,1,23,
206942449,2,19,
251340449,2,,
239975449,1,23,
206722732,2,22,
230247732,2,19,
206703525,1,20,
206685350,1,,
206041215,2,15,
205627476,2,,
205510076,2,,
218113076,2,24,
205228021,2,,
205217348,2,25,
205200343,1,,
256840343,1,,
316698343,1,15,
205138831,1,,
205019709,2,20,
204189788,1,,
221371788,2,15,
203604130,1,,
297197130,1,19,
202838858,1,,
202782257,2,,
202774025,1,,
284128025,2,23,
202529230,2,18,
202440363,1,,
202404099,2,19,"Русский,English"
202248745,1,40,
202224191,2,,
201918036,1,19,
201338516,1,,
201154047,2,,"Русский,English"
200852223,1,,
200715297,2,17,
302160297,2,15,
282724297,2,14,
200690453,1,,
200630016,1,,
299571016,2,,
318120016,2,16,
200599445,2,20,
200549499,2,,
200400373,2,27,
200089843,1,,
200069376,1,,
199678906,1,,
199580327,1,15,
199535247,1,19,
199421286,2,29,
199112236,2,,
217827236,1,,
198961024,2,26,
198610751,1,21,
198582823,2,16,
198045306,1,20,
197793852,2,17,
197154584,2,17,
231212584,2,17,
196785068,2,21,
196777042,1,,
196664328,1,,
196587916,1,,
196517851,1,24,
239752851,2,17,
196442639,2,,
196411691,1,24,
196058679,2,19,
195357829,1,16,
235763820,2,25,
195007892,1,,
194921942,1,,
194682935,1,,
238788935,2,,
194573594,2,23,
194466640,2,16,
194442572,2,14,
194359447,1,18,
193672895,1,15,
193370662,2,14,
193213344,2,14,
193175926,2,20,
193163068,1,24,
331504068,2,18,
310480068,1,14,
193080193,2,,
260991193,2,,
193063989,2,27,
192415311,2,,
344103311,1,,
279274311,2,24,
192369127,2,16,
192250560,1,18,"Русский,English"
192133627,2,,"Русский,English"
192120030,2,17,
191933700,1,,
191755610,2,22,
191700841,1,15,
302282841,2,,
200766841,2,,
191650053,2,,
235485053,2,16,"Русский,English"
191230034,1,18,
191072088,2,,
190529154,2,,
190525854,1,,"Русский,Татарча"
190259147,2,,
189938011,1,16,
189208989,2,,
188876424,1,18,
188333707,2,25,
264666707,1,,"Русский,English"
339934707,1,,
188133344,1,,
233030344,1,,
187163893,2,21,
186969494,2,19,"Русский,Deutsch,English"
186941427,1,,"Русский,English"
186630918,2,19,
186107813,2,24,
185894759,2,,"Русский,English"
185594927,1,,
185254399,2,,
220998399,2,,
318957399,2,16,
185013367,1,,
184789300,2,18,
183936811,2,17,"Русский,Deutsch"
183503756,2,28,
183404776,1,,"Русский,English"
183238074,1,,
183226361,1,,
183167293,2,,
183133005,1,,
182361274,1,,
182353089,2,25,
182049429,1,,
182020367,1,19,
308573367,1,14,
181986807,2,,
334976807,2,,
181945252,1,,
181837253,2,26,"Русский,English"
225892253,1,21,
181735177,1,30,
202693177,1,,
181579334,1,,
181237190,2,,
180991867,1,,
190940867,1,,
180730713,2,20,
201166713,1,,
180565731,2,17,
233674731,1,17,
180502203,2,21,
180382480,1,25,"Русский,English"
227022480,1,37,
180302077,2,25,
180296309,2,,
180225479,2,20,
243655479,2,36,
179306207,2,21,
178848515,1,,"Русский,English,Татарча"
178763784,1,,
178606561,1,,
178345138,2,,
